objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll012,pride3.jpg,,,PasigPride 2023,Pasig City Public Information Office,2023-06-25,"The city also holds its own Pride event to celebrate the diversity and bravery of queer Pasigueños, and to advocate the call for safe spaces and equality. ",event; pride march; pride month,Pasig City Hall Quadrangle; Arcovia City ,14.5596,121.0812,,E0003,Image;StillImage,image/jpeg,eng,Public domain,
coll013,bambino1.jpg,,,Bambino Festival 2023,Pasig City Public Information Office,2023-01-15,The Bambino Festival is held annually in celebration of the Sto. Niño's simplicity and purity. ,event; Bambino; festival; Sto. Niño,Pasig Cathedral ,14.5605,121.077,,E0004,Image;StillImage,image/jpeg,eng,Public domain,
coll014,bambino2.jpg,,,Bambino Festival 2023,Pasig City Public Information Office,2023-01-15,The Bambino Festival is held annually in celebration of the Sto. Niño's simplicity and purity. ,event; Bambino; festival; Sto. Niño,Pasig Cathedral ,14.5605,121.077,,E0005,Image;StillImage,image/jpeg,eng,Public domain,
coll015,bambino3.jpg,,,Bambino Festival 2023,Pasig City Public Information Office,2023-01-15,The Bambino Festival is held annually in celebration of the Sto. Niño's simplicity and purity. ,event; Bambino; festival; Sto. Niño,Pasig Cathedral ,14.5605,121.077,,E0006,Image;StillImage,image/jpeg,eng,Public domain,
coll016,bianca1.jpg,,,Bianca memory 1,Bianca,2022-03-20,"My most memorable memory is attending the Leni-Kiko PaslgLaban rally back in March 2022. It was my first time attending a presidential rally so I was nervous and didn’t know what to expect. Granted, the sortie itself was technically held in the Ortigas area, but it was intended for Pasig residents and its neighboring locations. The friends who accompanied me were also from Pasig and its also my first event as a Pasig resident, too. It turned out that I was nervous for nothing anyway. The Leni-Kiko rally was overflowing with camaraderie, bayanihan, and goodwill. Everybody was looking out for each other and spoke to each other with such kindness that you just felt so inspired by the example that former vice president Robredo has imbibed to us. It was not only raining pink that day, but also the call for good and honest governance. The elections might not have turned out the way we wanted, but the impact of the people’s campaign will always stay with us. I, for one, will carry that memory forever—proud to be one of the 15 million who stood for genuine leaders.",memory; rally; PasigLaban,"Emerald Avenue, Ortigas, Pasig",14.5739,121.095,,M0001,Image;StillImage,image/jpeg,eng,Public domain,
coll017,bianca2.jpg,,,Bianca memory 2,Bianca,2022-03-21,,memory; rally; PasigLaban,"Emerald Avenue, Ortigas, Pasig",14.5739,121.095,,M0002,Image;StillImage,image/jpeg,eng,Public domain,
coll018,bianca3.jpg,,,Bianca memory 3,Bianca,2022-03-22,,memory; rally; PasigLaban,"Emerald Avenue, Ortigas, Pasig",14.5739,121.095,,M0003,Image;StillImage,image/jpeg,eng,Public domain,
coll019,newyear.jpg,,,"New Year, New Home",Nikki,2020-01-01,First New Year celebration at our new home. ,"memory; family, new year; home","Brgy. Bambang, Pasig City",14.5569,121.0781,,M0004,Image;StillImage,image/jpeg,eng,Public domain,
coll020,valleverde.jpg,,,Birthday Bash at Valle Verde Country Club,Nikki,2023-05-27,Nikki's cousins playing with bubbles at a birthday party in Valle Verde Country Club. ,memory; birthday; party,"Brgy. Oranbo, Pasig City",14.5962,121.0555,,M0005,Image;StillImage,image/jpeg,eng,Public domain,
coll021,mothers.jpg,,,Mother's Day ,Nikki,2023-05-13,Exceptional mothers of Bambang are recognized at the San Felipe Santiago Bambang Chapel during Mothers' Day. Nikki's grandmother is the one in black and white. ,memory; Mothers' Day; mothers; awards,"Brgy. Bambang, Pasig City",14.3317,121.0434,,M0006,Image;StillImage,image/jpeg,eng,Public domain,
coll022,alaine1.jpeg,,,Back to School at SJKHS,Alaine,2022,San Joaquin-Kalawaan High School students are excited to be back in school for face-to-face classes after the lockdowns. ,,"Brgy. San Joaquin, Pasig City",14.5509,121.0763,,M0007,Image;StillImage,image/jpeg,eng,Public domain,
coll023,alaine2.jpeg,,,SJKHS Exhibit,Alaine,2022,San-Joaquin-Kalawaan High School students at an exhibit for Philippine traditional clothing held by the MAPEH Department. ,memory; school; students; exhibit,"Brgy. San Joaquin, Pasig City",14.5509,121.0763,,M0008,Image;StillImage,image/jpeg,eng,Public domain,
coll024,alaine3.jpeg,,,SJKHS Christmas Party 2022,Alaine,2022-12-14,San Joaquin-Kalawaan High School students celebrate their Christmas Party.,memory; school; Christmas Party,"Brgy. San Joaquin, Pasig City",14.5509,121.0763,,M0009,Image;StillImage,image/jpeg,eng,Public domain,
coll025,alaine4.jpg,,,SJKHS Student Achievers,Alaine,2022,San Joaquin-Kalawaan High School student achievers with their awards for the semester.,memory; school; students; awards,"Brgy. San Joaquin, Pasig City",14.5509,121.0763,,M0010,Image;StillImage,image/jpeg,eng,Public domain,
coll026,alaine5.jpg,,,Fun Night at Arcovia,Alaine,2023,"Alaine and her friends enjoying their night out at Arcovia City, with the ""Arco de Emperador"" monument in the background. ",memory; friends; arcovia; night out,"Brgy. Ugong, Pasig City",14.5771,121.0761,,M0011,Image;StillImage,image/jpeg,eng,Public domain,
coll027,alaine6.jpeg,,,Pasig's Gigantic Christmas Tree,Alaine,2022,Posing at the giant Christmas tree display at the Pasig City Hall Quadrangle,memory; Christmas; Christmas tree,"Brgy. San Nicolas, Pasig City",14.5596,121.0812,,M0012,Image;StillImage,image/jpeg,eng,Public domain,
coll028,alaine7.jpeg,,,Foodtrip in Puregold,Alaine,2023,Alaine and her friends food tripping in Puregold Pasig,memory; friends; food trip,"Brgy. San Joaquin, Pasig City",14.5534,121.0712,,M0013,Image;StillImage,image/jpeg,eng,Public domain,
coll029,jacqui.jpg,,,PCC Grade 6 Commencement Exercises 2023,Jacqui,2023-06-29,"Maddi, a student at Pasig Catholic College, receives her diploma on stage during their Commencement Exercises. ",memory; school; graduation ,"Brgy. Malinao, Pasig City",14.56,121.0767,,M0014,Image;StillImage,image/jpeg,eng,Public domain,
coll030,althea1.jpg,,,SPCP Fair 2020,Althea,2020,Althea and her friends at the St. Paul College Pasig Fair. ,,,14.5811,121.0672,,M0015,Image;StillImage,image/jpeg,eng,Public domain,
coll031,althea2.jpg,,,SPCP Concert 2020,Althea,2020,St. Paul College Pasig students rocking at at the SPCP Concert last 2020.  ,,,14.5811,121.0672,,M0016,Image;StillImage,image/jpeg,eng,Public domain,
coll032,althea3.jpg,,,Bambino Festival Celebration,Althea,2023-01-15,Althea at the Grand Bambino Festival 2023. ,,,14.5605,121.077,,M0017,Image;StillImage,image/jpeg,eng,Public domain,
coll033,ericka.jpg,,,Halloween Party 2022,Ericka,2022-10-30,Cousins celebrating halloween at home by dressing up in their most creative costumes. ,,,14.5569,121.0781,,M0018,Image;StillImage,image/jpeg,eng,Public domain,
coll034,raph1.jpg,,,Late Night Coffee,Raphaela,2023-01-29,Cousins enjoying their coffee at night at the Ferramenta Cafe in Palatiw. ,,,14.5648,121.0807,,M0019,Image;StillImage,image/jpeg,eng,Public domain,
coll035,raph2.jpg,,,UAAP Volleyball Match,Raphaela,2023-04-16,Watching the UAAP Volleyball UP vs. La Salle match and cheering for opposing sides. ,,,14.5773,121.0661,,M0020,Image;StillImage,image/jpeg,eng,Public domain,
coll036,raph3.jpg,,,Fun at Peryahan,Raphaela,2022-12-29,Cousins riding the caterpillar ride at a mini carnival in Pasig which opens every Christmas season.,,,14.5596,121.0802,,M0021,Image;StillImage,image/jpeg,eng,Public domain,
coll037,arielle.jpg,,,Jollibee Birthday Party,Arielle,2023-04-15,PJ celebrates his 3rd Birthday at Jollibee Pasig Rotonda. ,memory; birthday; party; Jollibee,"Dr. Sixto Atonio Ave., Pasig City",14.5658,121.0759,,M0022,Image;StillImage,image/jpeg,eng,Public domain,
